"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000237774.3",7.48053487125111,0.0212916303263935,0.128513925107447,0.165675667509122,0.868412195906658,0.882630567691067,"AC126615.1"
"ENSG00000237781.3",21.2499643472569,-0.954184362748014,0.138906578130944,-6.86925252631685,6.45391720377838e-12,1.62615419141911e-11,"ADAMTSL4-AS2"
"ENSG00000237797.1",11.7434718623823,0.0427700012358657,0.109336249040954,0.391178603720396,0.695665222551572,0.724320672804947,"MACORIS"
"ENSG00000237804.1",8.45435489365191,-0.043774909824809,0.100356181757909,-0.436195449627687,0.662694929130154,0.693613094452714,"HNRNPA1P39"
"ENSG00000237807.4",1183.11863321536,-0.577883136686761,0.131876164374748,-4.38201353085013,1.17587504473424e-05,2.01177785531371e-05,"AC022034.1"
"ENSG00000237821.1",10.2675378484385,-0.433674223534166,0.0802748204396935,-5.40236927543132,6.5766383663344e-08,1.30777908532965e-07,"ST13P7"
"ENSG00000237836.6",9.66941381965319,-0.505889202768188,0.0922316435044345,-5.48498523442082,4.13503954600491e-08,8.33646170257593e-08,"PHKA2-AS1"
"ENSG00000237840.6",31.7955445440223,-0.219352699189889,0.0788375108753171,-2.78233922855326,0.00539685969451488,0.00744172804562311,"FAM21FP"
"ENSG00000237854.3",207.184040298274,-0.128603963706254,0.0732831882050537,-1.75489040332699,0.0792780559879102,0.0961111788166845,"LINC00674"
"ENSG00000237877.7",41.7423169807624,0.0932649967323932,0.116578645698908,0.800017843518894,0.423700459007191,0.461377009317196,"LINC01473"
"ENSG00000237879.1",12.6009948346959,-0.57334713105999,0.136562068263102,-4.19843620085903,2.68764549235102e-05,4.47312711317239e-05,"LINC00398"
"ENSG00000237883.2",68.5691880040111,0.530923382460684,0.0873416857466884,6.07869401559855,1.21165316820934e-09,2.68095347696921e-09,"DGUOK-AS1"
"ENSG00000237886.1",36.2890791480288,0.495459903753011,0.143447868542475,3.45393702107399,0.000552466375899323,0.000832321807086812,"NALT1"
"ENSG00000237892.1",12.6616179479773,-0.315015335064083,0.170634455291589,-1.84614141690064,0.0648716745045905,0.0795109318030703,"KLF7-IT1"
"ENSG00000237916.1",9.21505996083077,-0.571381446281725,0.154543770081581,-3.69721436186075,0.000217978270069181,0.000339215462896146,"RPL37P12"
"ENSG00000237917.1",5.41947872959366,-0.100738936212723,0.21885825290825,-0.460293065827201,0.645305877722178,0.677653969017604,"PARP4P1"
"ENSG00000237928.6",26.0614070763422,-0.693265322260222,0.148346180950076,-4.6732940330532,2.96406942814083e-06,5.29600932527271e-06,"NFIA-AS2"
"ENSG00000237938.5",16.9728106685315,0.024682382671284,0.122548698120551,0.201408770960618,0.840378957503761,0.856665614999502,"AL450998.2"
"ENSG00000237940.3",947.917285400504,3.02668055098929,0.224595557726055,13.4761372025043,2.16129462374492e-41,1.84925479072046e-40,"LINC01238"
"ENSG00000237943.7",107.300063005442,-0.82024445707679,0.166590965831834,-4.9237031130775,8.49216447474205e-07,1.57052769057194e-06,"PRKCQ-AS1"
