"pathway","pval","padj","log2err","ES","NES","size","pathway_label"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP",0.092964824120603,0.228836490143023,0.234392647294686,-0.429627031503461,-1.3971607206819,20,"Reference Regulation of Gf Rtk Ras Erk Signaling Ptp"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT",0.097331240188383,0.236980410893454,0.178219874951973,0.382101677613972,1.33889703875858,43,"Variant Mutation Caused Aberrant Htt to Retrograde Axonal Transport"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.0987654320987654,0.237886632151865,0.224966093540314,-0.47441040557797,-1.40153117950198,15,"Env Factor Dce to Dna Adducts"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",0.107936507936508,0.257210401891253,0.169570644405628,0.373397638409615,1.31857993635502,45,"Variant Mutation Caused Aberrant Snca to Electron Transfer in Complex i"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.110552763819095,0.260671779952394,0.213927855492356,-0.418179442999249,-1.35993280010938,20,"Reference Cxcr4 Gnaq Plcb g Calcineurin Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY",0.121827411167513,0.284263959390863,0.204294756516886,-0.414557294354198,-1.3238630976789,19,"Reference Il1 Il1r Jnk Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S",0.127303182579564,0.293978483482706,0.159646701919906,0.492627976083753,1.34250416707379,15,"Reference P300 P21 Cell Cycle G1 s"
"KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY",0.14070351758794,0.31892797319933,0.188204146308491,-0.402330032387046,-1.30839001455458,20,"Reference Bmp Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS",0.142378559463987,0.31892797319933,0.150169802128406,0.4820570088111,1.31369628708622,15,"Reference Crosstalk Between Extrinsic and Intrinsic Apoptotic Pathways"
"KEGG_MEDICUS_REFERENCE_GLYCOLYSIS",0.141215106732348,0.31892797319933,0.149207542435322,0.443651175542212,1.32908847475679,21,"Reference Glycolysis"
"KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION",0.15,0.332673267326733,0.14551614609036,0.467778744643492,1.32757342617462,17,"Reference Telomere Elongation"
"KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION",0.161691542288557,0.355087308555263,0.173747838999571,-0.423216130932078,-1.29461087178521,17,"Reference Pink Parkin Mediated Autophagosome Formation"
"KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY",0.165829145728643,0.36013986013986,0.172324344900946,-0.393222346247715,-1.27877153062064,20,"Reference Keap1 Nrf2 Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_TRANSCRIPTION_COUPLED_NER",0.167207792207792,0.36013986013986,0.135002033828631,0.377584453414742,1.22700706486865,30,"Reference Transcription Coupled Ner"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119",0.170529801324503,0.363796909492274,0.135002033828631,0.436247309317373,1.28025852988952,20,"Reference Activation of Prc2.2 by Ubiquitination of H2ak119"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY",0.177248677248677,0.374563242487771,0.170932335370056,-0.374796402509824,-1.23612825334828,23,"Reference Itga b Rhogef Rhoa Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY",0.186046511627907,0.389208962048468,0.16440575583821,-0.358876155869353,-1.2350767975423,26,"Reference Itga b Fak Cdc42 Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY",0.187654320987654,0.389208962048468,0.159646701919906,-0.428585610644379,-1.26615286962813,15,"Reference Reln Vldlr Pi3k Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY",0.190735694822888,0.391970602204835,0.166933848713193,-0.318946038104957,-1.19598009787275,38,"Reference Cytokine Jak Stat Signaling Pathway"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.197994987468672,0.403189792663477,0.156312403073186,-0.398586257527388,-1.24497459326569,18,"Pathogen Hcmv Us28 to Gnaq Plcb g Calcineurin Signaling Pathway"
"KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_TRANSPORT_OF_CALCIUM",0.208333333333333,0.42042042042042,0.120985142145252,0.435936315342172,1.23720343085237,17,"Variant Scrapie Conformation Prpsc to Transport of Calcium"
